# PyMovie format
#
# from file: diffraction_with_central_spot_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ [00:00:5.5247]
# R @ [00:00:5.9247]
#
# lightcurve model: diffraction
# event category: normal
#
# UTC time: 2022-12-25 19:15:25.789541+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.03440 sec
#
# asteroid_diameter_km:  2.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  26.67000 AU
#
# wavelength_nm: 500 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 8.00000
# bottom   intensity: 1.89287 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 0.40000 sec
# chord_length_km:  2.00000 km
#
# star_diameter_mas: 0.00000 mas
#
# fresnel_length: 1.00006 km
#
# ===== Alternate units =====
#
# star_diameter_km:  0.00000 km
# star_radius_km:    0.00000 km
# star_rho:          0.00 fresnel lengths
#
# asteroid_diameter_mas: 0.10340 mas
# asteroid_rho:          1.00 fresnel lengths
#
# asteroid_distance_arcsec:  0.32952 arcsec
#
# asteroid_speed_sky_motion: 0.25849 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
243,[00:00:8.3592],2951.15,3000.93,-1.74
244,[00:00:8.3936],3071.71,3000.24,13.46
245,[00:00:8.4280],3089.49,2999.66,-13.42
246,[00:00:8.4624],3015.10,2999.18,-41.43
247,[00:00:8.4968],3048.13,3000.63,9.31
248,[00:00:8.5312],3052.49,3000.38,14.15
249,[00:00:8.5656],2958.51,3000.09,-16.80
250,[00:00:8.6000],2915.62,2999.74,-20.12
251,[00:00:8.6344],2976.68,2999.98,-5.30
252,[00:00:8.6688],3036.02,3001.07,6.74
253,[00:00:8.7032],3024.57,3000.52,5.76
254,[00:00:8.7376],3045.36,2999.65,-30.78
255,[00:00:8.7720],2932.96,2999.38,-28.72
256,[00:00:8.8064],2951.98,3000.16,-10.03
257,[00:00:8.8408],3049.92,3001.10,-26.40
258,[00:00:8.8752],3065.00,3000.27,23.29
259,[00:00:8.9096],2866.32,2999.19,-3.10
260,[00:00:8.9440],2936.33,3000.43,18.92
261,[00:00:8.9784],2990.75,2999.55,-19.77
262,[00:00:9.0128],2948.47,3000.78,10.91
263,[00:00:9.0472],3148.23,3000.65,8.18
264,[00:00:9.0816],3015.90,2999.67,33.27
265,[00:00:9.1160],3092.22,2999.71,18.11
266,[00:00:9.1504],2980.41,2999.00,-41.78
267,[00:00:9.1848],3061.93,3001.58,-25.37
268,[00:00:9.2192],2958.44,3000.46,30.94
269,[00:00:9.2536],3029.71,2999.08,-9.95
270,[00:00:9.2880],2936.41,3000.35,2.52
271,[00:00:9.3224],2904.07,3000.55,-14.00
272,[00:00:9.3568],3006.63,3000.05,-10.87
273,[00:00:9.3912],2874.43,2999.65,20.11
274,[00:00:9.4256],3018.04,3000.36,-53.53
275,[00:00:9.4600],2970.45,2999.84,-13.46
276,[00:00:9.4944],2802.16,3000.21,20.83
277,[00:00:9.5288],2994.00,2999.59,13.71
278,[00:00:9.5632],3013.54,3000.82,-31.08
279,[00:00:9.5976],2948.95,3000.02,18.42
280,[00:00:9.6320],3014.36,2999.05,-8.06
281,[00:00:9.6664],3024.71,3000.84,-13.91
282,[00:00:9.7008],2997.55,2999.96,-3.46
283,[00:00:9.7352],3007.86,2999.52,-12.64
284,[00:00:9.7696],3055.16,3000.25,-38.36
285,[00:00:9.8040],2993.94,3000.40,-3.35
286,[00:00:9.8384],2941.39,2999.74,0.51
287,[00:00:9.8728],3032.25,2999.35,-9.61
288,[00:00:9.9072],2885.15,3001.02,-20.72
289,[00:00:9.9416],2987.49,2999.86,-6.25
290,[00:00:9.9760],2953.94,2999.76,29.57
291,[00:00:10.0104],2866.78,2999.95,-14.70
292,[00:00:10.0448],3126.95,3000.43,-15.06
293,[00:00:10.0792],3024.91,2999.99,-1.06
294,[00:00:10.1136],3009.06,2999.76,17.08
