# PyMovie format
#
# from file: disk_on_disk_annular_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ [00:00:3.4500]
# R @ [00:00:5.3500]
#
# lightcurve model: disk-on-disk
# event category: graze
#
# UTC time: 2022-12-25 19:15:13.444516+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.04000 sec
#
# asteroid_diameter_km:  10.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  3.00000 AU
#
# wavelength_nm: 540 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 2.18500
# bottom   intensity: 400.97865 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 1.90000 sec
# chord_length_km:  9.50000 km
#
# star_diameter_mas: 6.43429 mas
#
# fresnel_length: 0.34857 km
#
# ===== Alternate units =====
#
# star_diameter_km:  14.00000 km
# star_radius_km:    7.00000 km
# star_rho:          40.16 fresnel lengths
#
# asteroid_diameter_mas: 4.59592 mas
# asteroid_rho:          14.34 fresnel lengths
#
# asteroid_distance_arcsec:  2.92940 arcsec
#
# asteroid_speed_sky_motion: 2.29796 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
160,[00:00:6.4000],3005.07,2872.68,-0.40
161,[00:00:6.4400],2893.53,2892.81,19.60
162,[00:00:6.4800],2925.41,2911.83,-14.96
163,[00:00:6.5200],2887.93,2929.64,-17.38
164,[00:00:6.5600],2966.05,2946.13,20.15
165,[00:00:6.6000],2964.65,2961.14,-26.46
166,[00:00:6.6400],3014.04,2974.46,-13.78
167,[00:00:6.6800],2979.29,2985.80,-22.29
168,[00:00:6.7200],2993.95,2994.64,-14.43
169,[00:00:6.7600],2948.86,2999.56,-5.71
170,[00:00:6.8000],3018.71,3000.00,3.10
171,[00:00:6.8400],3066.17,3000.00,-2.37
172,[00:00:6.8800],2987.94,3000.00,11.35
173,[00:00:6.9200],2913.73,3000.00,5.68
174,[00:00:6.9600],2989.54,3000.00,29.38
175,[00:00:7.0000],2967.13,3000.00,-8.55
176,[00:00:7.0400],3026.48,3000.00,-3.22
177,[00:00:7.0800],2978.03,3000.00,-4.75
178,[00:00:7.1200],2927.74,3000.00,22.67
179,[00:00:7.1600],3049.33,3000.00,-9.22
180,[00:00:7.2000],2936.42,3000.00,12.67
181,[00:00:7.2400],2974.48,3000.00,-58.40
182,[00:00:7.2800],3049.37,3000.00,6.23
183,[00:00:7.3200],3004.56,3000.00,10.38
184,[00:00:7.3600],3023.68,3000.00,-12.27
185,[00:00:7.4000],2964.03,3000.00,-33.31
186,[00:00:7.4400],2822.98,3000.00,14.23
187,[00:00:7.4800],2929.16,3000.00,-7.72
188,[00:00:7.5200],3041.86,3000.00,27.19
189,[00:00:7.5600],3063.59,3000.00,-30.20
190,[00:00:7.6000],3050.79,3000.00,18.52
191,[00:00:7.6400],2926.38,3000.00,60.89
192,[00:00:7.6800],3095.27,3000.00,14.27
193,[00:00:7.7200],3026.94,3000.00,12.75
194,[00:00:7.7600],3105.65,3000.00,-23.07
195,[00:00:7.8000],2970.69,3000.00,0.71
196,[00:00:7.8400],3017.39,3000.00,-8.21
197,[00:00:7.8800],2896.80,3000.00,37.58
198,[00:00:7.9200],3046.98,3000.00,19.81
199,[00:00:7.9600],3085.37,3000.00,-5.23
200,[00:00:8.0000],2969.44,3000.00,2.25
201,[00:00:8.0400],3025.30,3000.00,-10.28
202,[00:00:8.0800],2936.13,3000.00,9.55
203,[00:00:8.1200],3102.97,3000.00,-15.20
204,[00:00:8.1600],2980.19,3000.00,-1.14
205,[00:00:8.2000],3030.98,3000.00,-10.87
206,[00:00:8.2400],2938.56,3000.00,32.04
207,[00:00:8.2800],3000.08,3000.00,-11.01
208,[00:00:8.3200],2999.98,3000.00,6.37
209,[00:00:8.3600],2982.82,3000.00,21.10
210,[00:00:8.4000],2958.66,3000.00,-16.69
211,[00:00:8.4400],2964.71,3000.00,0.57
212,[00:00:8.4800],2937.86,3000.00,11.42
213,[00:00:8.5200],3032.28,3000.00,-5.34
214,[00:00:8.5600],3020.71,3000.00,32.72
215,[00:00:8.6000],2979.28,3000.00,-18.42
216,[00:00:8.6400],3049.86,3000.00,8.15
217,[00:00:8.6800],3008.14,3000.00,-35.99
218,[00:00:8.7200],3012.35,3000.00,-10.89
219,[00:00:8.7600],2993.39,3000.00,-23.81
220,[00:00:8.8000],3106.73,3000.00,-13.23
